feature_name,feature_tag,Name,Address,Latitude,Longitude,Location (CS),State,Nearest(poi)
mixstore,convenience_store,MiX Store @ Batu Pahat,"No.34,Jalan Desa Botani 1,Taman Desa Botani, 83000 Batu Pahat,Johor.",1.8681334,102.9303964,Batu Pahat,Johor,"[""Sushi Mentai D'garden"", 'Colobaba Cafe', 'Eat Toast Kopitiam']"
mixstore,convenience_store,MiX Store @ Muar,"No. 12, Jalan Mega 2, Pusat Perdagangan Mega Jalan Sakeh, 84000 Muar, Johor.",2.0495418,102.5824647,Muar,Johor,"['Restaurant Gan AFC', '998 Car Wash', 'Hy Foot Reflexology']"
mixstore,convenience_store,MiX Store @ Taman Sentosa,"No 28, Jalan Sutera 2, Taman Sentosa, 80150 Johor Bahru, Johor",1.4924551,103.7675567,Taman Sentosa,Johor,"['The Store', 'Jecki Pharmacy', 'Zamzam Corner']"
mixstore,convenience_store,MiX Store @ Permas Jaya,"No. 29, Jalan Permas 11, Bandar Baru Permas Jaya 81750, Masai, Johor",1.4981738,103.8100423,Permas Jaya,Johor,"['La Boheme', '老街坊美食阁2 Old Street 2', '老街坊美食阁 2']"
mixstore,convenience_store,MiX Store @ Austin Height,"No.69, Jalan Austin Height 8/5, Taman Mount Austin, 81100 Johor Bahru, Johor",1.5629763,103.7762123,Austin Height,Johor,"['Midnight Mount Austin', 'The Kitchen @ Mount Austin', 'Midnight Pub&Bistro Austin Heights']"
mixstore,convenience_store,MiX Store @ Austin Height 1.0,"No.23, Jalan Austin Heights 3/1, Taman Mount Austin, 81100 Johor Bahru, Johor",1.5577684,103.7785749,Austin Height 1.0,Johor,"[""De' Clover Club House"", '美味轩 Crux Cafe', 'Maison de Campagne']"
mixstore,convenience_store,MiX Store @ Sutera,"No.79, Jalan Sutera Tanjung 8/3, Taman Sutera Utama, 81300 Johor Bahru, Johor",1.514969,103.6719761,Sutera,Johor,"['Kaew Mookata Restaurant', 'Durian Point', 'Khunya Thai Kitchen']"
mixstore,convenience_store,MiX Flagship Store @ Ampang Pandan Indah👑,"No21,23&25,Jalan Pandan Indah 4/10, Pandan Indah 55100,Kuala Lumpur",3.1303999,101.7438715,Ampang Pandan Indah👑,Kuala Lumpur,"['Kedai Ubat & Runcit Hwa Tat', 'Sunlight Radio Service Sdn. Bhd', 'Nasi Lemak Mak Wanluv']"
mixstore,convenience_store,MiX Flagship Store @ Sunway Velocity👑,"LOT B-21,Lingkaran SV,Sunway Velocity,55100 Kuala Lumpur.",3.1269876,101.7230781,Sunway Velocity👑,Kuala Lumpur,"['Klinik Kakitangan DBKL', 'Klinik Kesihatan DBKL', 'Klinik Kesihatan IBU Dan Anak Cheras (DBKL)']"
mixstore,convenience_store,MiX Flagship Store @ MidValley Megamall👑,"Lot T-014D T-014E & T-054 3rd Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1174502,101.676571,MidValley Megamall👑,Kuala Lumpur,"['Zara', 'The Bar°n', 'Aligned Clinic']"
mixstore,convenience_store,MiX Flagship Store @ Bukit Bintang,No. 112 – No. 114 Jalan Bukit Bintang 50200 Kuala Lumpur,3.146318,101.7088453,Bukit Bintang,Kuala Lumpur,"['Summer House Bed & Café', 'Melange Boutique Hotel', 'Funky House Guesthouse']"
mixstore,convenience_store,MiX Flagship Store @ Sri Petaling,"No.85, Jalan Radin Bagus, Sri Petaling, 57000,Kuala Lumpur",3.0711081,101.6920545,Sri Petaling,Kuala Lumpur,"['Comfort Health Care', 'Zouk Spa', 'Crazy Kopitiam(Sri Petaling)']"
mixstore,convenience_store,MiX Store @,"NO.34,JALAN CERDAS,TAMAN CONNAUGHT,56000 CHERAS, KUALA LUMPUR.",3.0813856,101.7357166,Sri Petaling,Kuala Lumpur,"['Wasabi', 'Tasty Food Corner', 'ICARE DENTAL CLINIC/ KLINIK PERGIGIAN ICARE']"
mixstore,convenience_store,MiX Store @,"No.44, JALAN 34/154, TAMAN BUKIT ANGGERIK, 56000 CHERAS, KUALA LUMPUR.",3.0579623,101.7467076,Sri Petaling,Kuala Lumpur,"['Machi Noodle 妈子面', 'Thai Hor Chiak Restaurant 泰好吃', '天下第一脚 肉骨茶']"
mixstore,convenience_store,MiX Store @ Taman United OUG,"No.85, Jalan Mega Mendung, Taman United, 58200 Kuala Lumpur.",3.0826341,101.6693211,Taman United OUG,Kuala Lumpur,"['Traffic Light', 'STM Motor Shop', 'Agel Malaysia HQ']"
mixstore,convenience_store,MiX Store @ Kepong Bandar Menjalara,"G-09, Ground Floor, Plaza Menjalara, 1, Jalan Menjalara Idaman, Bandar Sri Menjalara, 52200 Kepong, Wilayah Persekutuan Kuala Lumpur.",3.1945088,101.6275724,Kepong Bandar Menjalara,Kuala Lumpur,"['Menjalara Park', 'Restoran Kai Wo Bao', 'Taman Tasik Menjalara']"
mixstore,convenience_store,MiX Store @ Taman Desa,"24, Plaza Danau 2, Jalan 5/109F, Taman DanauDesa, 58100 Kuala Lumpur.",3.0988972,100.5664585,Taman Desa,Kuala Lumpur,['newplace']
