feature_name,feature_tag,Name,Address,Latitude,Longitude
99 Speedmart,convenience_store,1042 - Teluk Pulai,"No. 61 & 63 (Grd Floor), Jalan Teluk Pulai, Kaw 7, 41100 Klang, Selangor Darul Ehsan.",3.042212,101.428569
99 Speedmart,convenience_store,1043 - Tanjong Karang,"15 & 17 (GRound Floor), Jalan PB 1/1, Pusat Bandar Tanjong Karang, 45500 Tanjong Karang, Selangor Darul Ehsan.",3.425065,101.176812
99 Speedmart,convenience_store,1044 - Bandar Botanik 1,"No.46 & 48 (Ground Floor), Jalan Jasmin 1/KS6, Bandar Botanik, 41200 Klang, Selangor Darul Ehsan.",2.98681,101.443514
99 Speedmart,convenience_store,1045 - Kampung Sungai Udang,"No. 29 & 31 (Ground Floor), Jalan Udan Putih 21 KS 3, Kampung Sg. Udang, 41250 Klang, Selangor Darul Ehsan.",,
99 Speedmart,convenience_store,1046 - Pandamaran,"No. 153 & 155 (G), Jalan Chan Ah Choo, Pandamaran, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.010263,101.418375
99 Speedmart,convenience_store,1047 - Kampung Sungai Lang,"No.40-42(Ground Floor), Jalan Bersatu Dua, Taman Bersatu, Sungai Lang, 42700 Banting, Selangor Darul Ehsan.",2.790454,101.510214
99 Speedmart,convenience_store,1048 - USJ 10 Taipan,"No.53(G),Jalan USJ 10/1F,47620 Subang Jaya, Selangor Darul Ehsan.",3.047633,101.583213
99 Speedmart,convenience_store,1049 - Taman Medan,"No.11 & 12 (Ground Floor), Jalan Medan 8, Taman Medan, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.075284,101.635453
99 Speedmart,convenience_store,1050 - Desa Aman Puri,"No:2-39A-A-G & 2-39A-A-I(Ground & Mezzanine Floor),Jalan Desa 1/1, Desa Aman Puri,52100 Kuala Lumpur.",3.210939,101.615433
99 Speedmart,convenience_store,1051 - Sasaran,"No: 3 & 4 (Ground Floor), Jalan Muara 2,  Taman Muara Estec, Sungai Buloh,  45800 Jeram, Selangor Darul Ehsan.",3.260963,101.305529
99 Speedmart,convenience_store,10513 - (SBH) Taman Nelly,"Lot 217 & 218, Ground Floor, Taman Nelly 9 (Phase 4), Jalan Nountun, Inanam, 88450 Kota Kinabalu, Sabah",5.979663,116.127473
99 Speedmart,convenience_store,1052 - Sungai Buloh,"No.41&43(G),Jalan Kati Eu 19/E, Sek. U19 Tmn Medan Mas ,47000 Sungai buloh, Selangor Darul Ehsan.",,
99 Speedmart,convenience_store,1053 - Puchong Prima,"E01-09 & E01-10,Jalan Puchong Prima 5/3,Taman Puchong Prima,47100 Puchong,Selangor Darul Ehsan.",3.000063,101.595059
99 Speedmart,convenience_store,1054 - Shah Alam Sek 23,"No.89 & 91 (Ground Floor), Jalan Pelabur B 23/B, 40300 Shah Alam, Selangor Darul Ehsan.",3.046647,101.526414
99 Speedmart,convenience_store,1055 - Jenjarom,"No.23 & 25 & 27 (Ground Floor),Jalan Bacang 17,Sungai Jarom,42600 Jenjarom, Selangor Darul Ehsan.",2.872043,101.494678
99 Speedmart,convenience_store,1057 - Bandar Baru Klang,"No. 32A (G), Lorong Tiara 1B , Bandar Baru Klang, 41150 Klang, Selangor Darul Ehsan.",3.063328,101.468909
99 Speedmart,convenience_store,1058 - Bukit Jelutong,"No: 15 & 17 (Ground Floor),  Jalan Pelapik B U8/B,  Bukit Jelutong, Seksyen U8,40150 Shah Alam, Selangor Darul Ehsan.",3.114462,101.526779
99 Speedmart,convenience_store,1059 - Subang Jaya SS19,"NO. 55, Jalan SS19/6,  46500 Subang Jaya,  Selangor Darul Ehsan.",3.065781,101.579352
99 Speedmart,convenience_store,1060 - Setia Alam 1,"No. 9-1-2 & 7-1-1,  Jalan Setia Prima R U13/R,  Setia Alam, Sek U13,40170 Shah Alam, Selangor Darul Ehsan.",3.10087,101.444787
99 Speedmart,convenience_store,1061 - Dataran Sunway,"No. 8 & 10 (Ground Floor),  Jalan PJU 5/10,  47810 Petaling Jaya,Selangor Darul Ehsan.",3.151507,101.592967
99 Speedmart,convenience_store,10613 - (SBH) Telipok Ria,"Lot No: K-G-55 & Lot No: K-G-56, Wisma Telipok Ria Phase 2, Jalan Telipok Lama Tuaran, 89208 Tuaran, Sabah.",6.108061,116.206232
99 Speedmart,convenience_store,1062 - Old Town,"No.28, Jalan Pasar 1/21, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.083887,101.645869
99 Speedmart,convenience_store,1063 - Bukit Tinggi 2,"No.15 & 17 (G) ,Lorong Batu Nilam 34C ,Bandar Bukit Tinggi  41200 Klang, Selangor Darul Ehsan.",2.99912,101.431494
99 Speedmart,convenience_store,"1064 - Kota Damansara, Sek 6","No:39-1 (Ground Floor),  Jalan Cecawi 6/19A,  Seksyen 6 Kota Damansara,47810 Petaling Jaya, Selangor Darul Ehsan.",,
99 Speedmart,convenience_store,1065 - Sri Manja,"No.11 & 13 (Ground Floor), Jalan PJS 3/48, Taman Sri Manja, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.073388,101.64823
99 Speedmart,convenience_store,1066 - Sultan Suleiman 1,"No. 107 (G) Lintang Sultan Mohamad 1B, Pusat Perdagangan Bandar Sultan Suleiman 42000 Pelabuhan Klang, Selangor Darul Ehsan.",,
99 Speedmart,convenience_store,1068 - Centro Klang,"G 119 (G) ,Centro Mall ,No: 8 Jalan Batu Tiga Lama, 41300 Klang, Selangor Darul Ehsan.",3.051168,101.462943
99 Speedmart,convenience_store,1069 - Sri Damansara 1,"NO: 20-1, Jalan Damar SD 15/1,  Bandar Sri Damansara,  52200 Kuala Lumpur.",3.18478,101.607868
99 Speedmart,convenience_store,1070 - Ampang Hilir,"No. B6 & B7, Jalan Excella 1, Jalan Ampang Hilir, 55100 Kuala Lumpur.",3.150832,101.747527
99 Speedmart,convenience_store,1071 - Bukit Bintang,"NO: 5 & 7 (Ground Floor),  Jalan Bukit Bintang,  55100 Kuala Lumpur.",3.144062,101.707819
99 Speedmart,convenience_store,10714 - (SBH) Tmn Sri Rugading,"Lot No. S4-0-32 & S4-0-33, Grd Floor, Lrg Rugading 3, Jalan Tuaran, Telipok, 89200 Tuaran, Sabah",6.11515,116.204242
99 Speedmart,convenience_store,1072 - Taman Maluri,"No.289 & 291(Ground Floor), Jalan Mahkota, Taman Maluri, 55100 Kuala Lumpur.",3.128946,101.732215
99 Speedmart,convenience_store,1074 - Wangsa Maju,"No.25 & 26(Ground Floor), Jalan Metro Wangsa, Wangsa Maju Sek 2, Wangsa Maju, 53000 Setapak.",3.203933,101.736894
99 Speedmart,convenience_store,1075 - Puchong Indah,"No.23 & 25(Ground Floor),Jalan Indah 3/1,Taman Puchong Indah,47100 Puchong,Selangor Darul Ehsan.",3.012507,101.603579
99 Speedmart,convenience_store,1076 - Ijok,"No: 10 & 12 (Groung Floor),  Jalan Ijok Utama 1,  Taman Ijok Utama,45600 Ijok, Batang Berjuntai,Selangor Darul Ehsan.",3.313769,101.411745
99 Speedmart,convenience_store,1077 - Puchong Kinrara,"No.4 & 6 & 8 (Ground Floor),Jalan Kinrara 4/5,Taman Kinrara 4,47100 Puchong ,Selangor Darul Ehsan.",3.064742,101.637556
99 Speedmart,convenience_store,1078 - Damai Perdana,"18 & 20(G),Jalan Damai Perdana 1/8A,Bandar Damai Perdana,56000 Cheras,Selangor Darul Ehsan",3.046931,101.739481
99 Speedmart,convenience_store,1079 - Sungai Long 1,"No.15 & 17 (G), Jalan SL 1/3 ,Bandar Sungai Long, 43200 Kajang, Selangor Darul Ehsan.",3.040519,101.793392
99 Speedmart,convenience_store,1080 - Shah Alam Sek 7 (1),"No: QG 43 & QG 45 (Ground Floor),  Jalan Plumbum U7/U,  Seksyen 7, 40000 Shah Alam,Selangor Darul Ehsan.",3.067217,101.490044
99 Speedmart,convenience_store,1081 - Alam Jaya,"32 & 34(G), Jalan Alam Jaya 19, Taman Alam Jaya, 43200 Cheras, Selangor.",3.079837,101.765122
99 Speedmart,convenience_store,10814 - (SBH) D�Sulaman Square,"Lot No. 1 (Ground Floor), Wisma D�Sulaman Square, Jalan Sulaman, 88450 Kota Kinabalu, Sabah.",6.044125,116.14715
99 Speedmart,convenience_store,1082 - Rawang,"No.55 (G) , Jalan Bandar Rawang 3, 48000 Rawang, Selangor Darul Ehsan.",3.323698,101.577689
99 Speedmart,convenience_store,1083 - Batang Berjuntai,"NO: 26 & 28 (Ground Floor),  Jalan Berjuntai 4,  45600 Batang Berjuntai, Selangor Darul Ehsan.",3.379125,101.410371
99 Speedmart,convenience_store,1084 - Taman Banting Indah,"No: 202, 204 & 206.(Ground Floor) Jalan Morib,Taman Banting Indah,42700 Banting,Selangor Darul Ehsan.",2.805874,101.49497
99 Speedmart,convenience_store,1085 - Jalan Istana,"No. 2 & 4 (G), Lorong Tingkat / KS 01, Klang Bandar Diraja, 41000 Klang, Selangor Darul Ehsan.",3.040465,101.448418
99 Speedmart,convenience_store,1086 - Pandan Mewah,"No. B4-G-01, Block B, Hata Square, Jalan Mewah 1/1, 68000 Pandan Mewah, Selangor Darul Ehsan.",3.126268,101.763631
99 Speedmart,convenience_store,1087 - Telok Panglima Garang,"No.43,75 & 77 (Ground Floor),Jalan Besar,Pekan Telok,42500 Telok Panglima Garang,Selangor Darul Ehsan.",2.908646,101.467041
99 Speedmart,convenience_store,1088 - Bandar Bukit Raja 1,"No.1 & 3, Jalan Zapin 1 , 41050 Bandar Bukit Raja Klang, Selangor Darul Ehsan.",3.07822,101.44066
99 Speedmart,convenience_store,1089 - Bayu Tinggi,"No.48 & 50 (G), Jalan Bayu Tinggi 8/KS 6, Batu Unjur, 41200 Klang, Selangor Darul Ehsan.",3.012406,101.428987
99 Speedmart,convenience_store,1090 - Seri Petaling,"No. 10 & 12(Ground Floor), Jalan 1/149 D, Bandar Baru Seri Petaling, 57000 Kuala Lumpur.",3.067613,101.686061
99 Speedmart,convenience_store,1091 - Kayu Ara 1,"No: 8 & 9 (Ground Floor),  Pelangi One Avenue, Jalan PJU 6/A,  47400 Petaling Jaya, Selangor Darul Ehsan.",3.139445,101.614328
99 Speedmart,convenience_store,10914 - (SBH) Lintas Plaza,"Lot No: 2-0 & 3-0, Block F, Lrg Lintas Plaza 4, Lintas Plaza, Luyang, 88300 Kota Kinabalu, Sabah.",5.945895,116.088516
99 Speedmart,convenience_store,1092 - Taman Setia Rawang,"No.33 & 35 (G), Jalan Setia Rawang 1, Taman Setia, 48000 Rawang, Selangor Darul Ehsan.",3.303294,101.598813
99 Speedmart,convenience_store,1093 - Taman Jati Rawang,"No.37&39 (G), Jalan 1 B, Batu 17 Taman Jati 48000 Rawang Selangor.",3.307444,101.585758
99 Speedmart,convenience_store,1094 - Sungai Sembilang,"No: 7 & 9 (Ground Floor),  Jalan Kenari 1, Taman Kenari,  Sungai Sembilang, 45800 Jeram, Selangor Darul Ehsan.",3.191807,101.314538
99 Speedmart,convenience_store,1095 - Subang Jaya SS15,"NO: 3 & 5 (Ground Floor),  Jalan SS15/8A,  47500 Subang Jaya,Selangor Darul Ehsan.",3.074159,101.58742
99 Speedmart,convenience_store,1096 - Nzx Ara Jaya,"A-G-3A & A-G-5, Block A,  No:2, Jalan PJU 1A/41B,  Pusat Dagangan NZX, Ara Jaya,47301 Petaling Jaya,  Selangor Darul Ehsan.",3.114698,101.588697
99 Speedmart,convenience_store,1097 - TTDI Jaya,"No: 2 (Ground Floor),  Jalan U2/D, TTDI Jaya,  40150 Shah Alam,Selangor Darul Ehsan.",3.098554,101.555942
99 Speedmart,convenience_store,1098 - Bandar Pinggiran Subang 1,"No: 19 (Ground Floor),  Jalan Bulan BV U5/BV,  Bandar Pinggiran Subang,Seksyen U5, 40150 Shah Alam,  Selangor Darul Ehsan.",3.160324,101.547981
99 Speedmart,convenience_store,1099 - Kuala Selangor 1,"No: 7 & 9 (Ground Floor),  Jalan Raja Abdullah,  45000 Kuala Selangor, Selangor Darul Ehsan.",3.340439,101.250404
99 Speedmart,convenience_store,1100 - USJ 1,"No.34,Jalan USJ 1/6C,USJ1 Subang,47620 Subang Jaya,Selangor Darul Ehsan.",3.048608,101.601336
99 Speedmart,convenience_store,1101 - Taman Medan Jaya,"J-G-7 & J-G-8 (Ground Floor), Block J, No.2A , Jalan PJS 2/1, Apartment Taman Medan Jaya, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.083094,101.627728
99 Speedmart,convenience_store,11014 - (SBH) Menggatal Plaza,"Lot No: H-0-10 & H-0-11 (G), Block H, Lorong Permai 11, Menggatal Plaza Phase 2,  88450 Kota Kinabalu, Sabah.",,
99 Speedmart,convenience_store,1102 - Sungai Jati,"No.35, 37 & 39 (G), Jalan Mohd Tahir 8, Off Jalan Sungai Jati ,41000 Klang, Selangor Darul Ehsan.",3.013359,101.460047
99 Speedmart,convenience_store,1103 - Tanjong Sepat,"No.5,7 & 9(Ground Floor),Pusat Perniagaan Tanjong,Lorong pasar 1,Jalan Besar,Tanjong Sepat,42800 Kuala Langat,Selangor Darul Ehsan.",2.661451,101.558239
99 Speedmart,convenience_store,1104 - Alam Megah 2,"No.10, 12 & 14 (Ground Floor), Jalan Labu 28/23, Seksyen 28, 40400 Shah Alam, Selangor Darul Ehsan.",3.004777,101.561081
99 Speedmart,convenience_store,1105 - Bandar Manjalara 1,"NO:1 (Ground Floor),  Jalan Medan Putra 6,  Medan Putra Business Centre,Bandar Manjalara,  52200 Kuala Lumpur.",3.191904,101.624424
99 Speedmart,convenience_store,1106 - Bandar Mahkota Cheras 1,"21(G),Jalan Temenggung 5/9, Sek.9,Bandar Mahkota Cheras,43200 Cheras,Selangor.",3.052063,101.788978
99 Speedmart,convenience_store,1107 - Pinggiran Batu Caves 1,"NO: 29, 31 & 33 (Ground Floor),  Jalan PGN 1A/1, Pinggiran Batu Caves,  68100 Batu Caves,Selangor Darul Ehsan.",3.250551,101.692242
99 Speedmart,convenience_store,1108 - USJ 16,"No.5,Jalan USJ 16/2G,47630 Subang Jaya,Selangor Darul Ehsan.",3.032173,101.577432
99 Speedmart,convenience_store,1109 - Bukit Tinggi 1,"No.35 & 37(Ground Floor), Jalan Batu Nilam 4, Bandar Bukit Tinggi, 41200 Klang, Selangor Darul Ehsan.",3.007681,101.435682
99 Speedmart,convenience_store,1110 - Plaza Suria,"D_G11,13 & 15, BLOCK D, Plaza Suria,  Jalan PJU 10/4A, Damansara Damai,  Sungai Buloh, 47830 Petaling Jaya,Selangor Darul Ehsan.",3.194925,101.585575
99 Speedmart,convenience_store,1111 - Taman Saujana Puchong,"No.29(Ground Floor),Jalan SP 3/9,Taman Saujana Puchong,47100 Puchong,Selangor Darul Ehsan.",2.989949,101.640076
