99 Speedmart,convenience_store,1004 - Banting,"A1-0(Tingkat Bawah), Jalan Wisma, Bangunan Wisma Banting, 42700 Banting, Selangor Darul Ehsan.",2.815001,101.503224
99 Speedmart,convenience_store,1006 - Telok Gong,"Pt 8926, Jalan Telok Gong, Kampung Telok Gong, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",2.963484,101.39252
99 Speedmart,convenience_store,1007 - Pekan Meru 1,"9366-9368, Jalan Besar, Pekan Meru, 41050 Klang, Selangor Darul Ehsan.",3.131721,101.440178
99 Speedmart,convenience_store,1008 - Klang Utama 1,"2, Jalan Sungai Puloh 13, Taman Klang Utama, 42100 Klang, Selangor Darul Ehsan.",3.078498,101.420492
99 Speedmart,convenience_store,1009 - Alam Megah 1,"No.1, Jalan Pulau Kempas 28/3, Seksyen 28, 40400 Shah Alam, Selangor Darul Ehsan.",3.007263,101.569053
99 Speedmart,convenience_store,1012 - Bukit Kapar,"39-41, Jalan Bukit Kapar, Pekan Kapar , 42200 Kapar, Selangor Darul Ehsan.",3.139873,101.378777
99 Speedmart,convenience_store,1013 - Port Klang 1,"118 (Grd. Floor), Jalan Tengku Bandar, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.006454,101.399734
99 Speedmart,convenience_store,1014 - Sri Andalas 1,"2, Jalan Seri Sarawak 19, Taman Sri Andalas,  42100 Klang, Selangor Darul Ehsan.",3.015448,101.442109
99 Speedmart,convenience_store,1015 - Taman Desawan,"Block A, No 4671(Grd Floor),  Wisma AMI, Jalan Gambus 2, Tmn. Desawan, 41200 Klang, Selangor Darul Ehsan.",3.00189,101.443006
99 Speedmart,convenience_store,1016 - Sentosa,"41-43, Jalan Datuk Yusuf Shahbuddin 28, Taman Sentosa, 41200 Klang, Selangor Darul Ehsan.",3.007574,101.463954
99 Speedmart,convenience_store,1017 - Kampung Jawa,"7695-7697, Jalan Teluk Batu 1, Bt.4 1/2 Jalan Kebun, 41000 Klang, Selangor Darul Ehsan.",3.012256,101.488039
99 Speedmart,convenience_store,1018 - Eng Ann,"6-8, Lorong Kasawari 4, Taman Eng Ann , 41150 Klang, Selangor Darul Ehsan.",3.056552,101.459297
99 Speedmart,convenience_store,1019 - Kota Kemuning 1,"No.29, Jalan C, 31/C Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor Darul Ehsan.",2.990099,101.547348
99 Speedmart,convenience_store,1021 - Pandamaran Jaya,"NO. 2 & 4 (Grd Floor), Jalan Lengkok Pandamaran 63, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.004204,101.423796
99 Speedmart,convenience_store,1022 - Sri Muda 1,"No.61 & 63, Jalan Makmur 25/64, Seksyen 25, Taman Sri Muda, 40400 Shah Alam, Selangor Darul Ehsan.",3.032366,101.537349
99 Speedmart,convenience_store,1024 - Sri Setia,"601-602, Jalan SS9A/13,  Sunga Way, 47300 Petaling Jaya.,  Selangor Darul Ehsan.",3.086137,101.621409
99 Speedmart,convenience_store,1027 - Jalan Meru,"155(G), Wisma Harp Soon, Jalan Meru, 41050 Klang, Selangor Darul Ehsan.",3.062675,101.451926
99 Speedmart,convenience_store,1028 - Desa Mentari,"No.1, Jalan PJS 6/5F, Desa Mentari, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.081091,101.618984
