Latitude,Longitude
1.482208,103.65615
1.5639165,103.7350412
1.549699,103.796804
1.559672,103.633513
1.505245,103.873438
1.464299,103.728926
1.57347,104.214017
1.578886,103.722665
1.5283188,103.8145482
2.048044,102.592511
1.461265811,103.7632975
2.037931473,103.3189357
1.4617565,103.7640179
1.74918006,103.9057017
1.4164165,103.6576916
1.428412,103.632393
1.546655897,103.7881732
1.471088,103.762476
1.515153,103.685767
2.047635,102.568394
,
1.49513,103.705764
1.945459,103.152057
1.398809,103.628495
1.47903758,103.3898206
2.4388,103.8334
1.45984,103.768252
2.122322,102.7935147
2.513235656,102.8229405
1.547027,103.716359
2.05477,103.34865
1.566544,103.758494
1.556523938,103.7900358
1.583046194,103.7596642
1.867734,102.950041
,
1.525348,103.786854
1.5868087,103.8171891
1.442142,103.598207
1.4596256,103.5840533
1.516546246,103.6679737
3.064716,101.441962
1.415352,103.653335
2.431717,103.836252
1.481873,103.662865
1.5478845,103.7935817
1.501288,103.777443
1.553658,103.798371
5.642649,100.495034
,
6.149005,100.369347
5.683294,100.494653
5.672511,100.513116
6.100528,100.364034
5.641071116,100.4821933
5.615623,100.472606
,
3.1657103,101.6531723
3.166772,101.652394
3.1471447,101.7221526
3.125961,101.728666
3.126251,101.728402
3.1728028,101.6560029
3.128044035,101.6701682
3.166583896,101.6515129
3.1548153,101.7106996
3.20074,101.61276
3.1338794,101.6847996
3.1000102,101.713035
3.1427983,101.6674161
,
3.1296713,101.6707564
3.1588241,101.717411
3.1628443,101.6560653
3.162584,101.656944
3.1474252,101.7118309
3.06220587,101.6646759
3.1551978,101.6993237
3.118186,101.676817
3.1073792,101.6659579
3.09935,101.73959
3.0999355,101.7390203
3.155059,101.708213
3.1752508,101.7349526
3.146673,101.6615483
3.16342,101.65
3.219069886,101.6712321
3.093042,101.738924
3.0637911,101.6969965
3.1542623,101.7111936
3.1022894,101.6848981
3.157756433,101.713741
3.099471,101.725337
3.151475,101.663855
3.159057,101.7185135
3.1699993,101.7094247
3.164431,101.720344
3.113656,101.726945
3.153563,101.622684
3.174702,101.659574
3.1536674,101.7131965
3.224811,101.730372
3.132387,101.676049
3.116278,101.67414
3.1135471,101.6628453
3.113744,101.6629931
3.134632,101.686385
3.1343519,101.6859478
3.157511181,101.6968982
3.1187,101.6729
3.154912,101.693165
3.1186111,101.6786111
3.0901485,101.6893548
3.209948,101.668798
3.2117228,101.6499008
3.11865,101.67291
3.1505907,101.7601652
3.1597351,101.7194545
3.14926,101.695674
3.127588,101.679062
3.1382768,101.7529654
3.1562105,101.703
3.16734,101.73535
3.1489493,101.695642
3.150222632,101.6963272
3.14287,101.694745
3.1446,101.70293
3.1666431,101.6935757
3.1858835,101.6954291
3.198869,101.737531
3.21957,101.72183
3.20583,101.73173
3.1587687,101.7475801
3.0760017,101.7423352
3.2077721,101.6897341
3.060773,101.709564
3.162111,101.716967
3.210537,101.748277
,
3.153703,101.709079
3.1558891,101.7099116
3.1160061,101.6656244
3.1505848,101.6956659
3.1588212,101.7049162
3.2133114,101.6390626
3.132260146,101.7518008
3.117376,101.677846
3.117402696,101.677846
3.09544,101.700789
,
3.1098379,101.6656176
3.133081,101.687142
3.086194,101.673031
3.1466993,101.6957435
,
3.149175,101.713448
3.1550977,101.7191361
3.205868,101.719749
3.186708,101.635309
3.203926,101.702246
