feature_name,feature_tag,Name,Address,Latitude,Longitude,Location,Nearest(poi)
familymart,convenience_store,FAMILYMART @Jalan KLIA 2/1,"L2-96 & L2-97, Level 2, Gateway@KLIA2, Terminal KLIA2, KL International Airport, Jalan KLIA 2/1, 64000 KLIA Sepang, Selangor",2.743645,101.685773,Jalan KLIA 2/1,"['Hong Leong Bank', 'Airasia Pax Handling Office', 'Malaysian Autogate']"
familymart,convenience_store,FAMILYMART @The Scott Garden,"Lot 1-18, The Scott Garden, 289 Jalan Kelang Lama, 58000 Kuala Lumpur",3.205578,101.733062,The Scott Garden,"['Suan SaloOn', 'FamilyMart', 'Tealive']"
familymart,convenience_store,FAMILYMART @Jalan 14/27B,"20, Jalan 14/27B, Taman Desa Setapak, 53300 Kuala Lumpur",3.205578,101.733062,Jalan 14/27B,"['Suan SaloOn', 'FamilyMart', 'Tealive']"
familymart,convenience_store,FAMILYMART @Bandar Bukit Tinggi,"8-00-1, Lorong Batu Nilam 4A, Bandar Bukit Tinggi,<Br>41200 Klang, Selangor",3.008132,101.439579,Bandar Bukit Tinggi,"['HSBC Amanah', 'Vixmatech Centre', 'HSBC Bank']"
familymart,convenience_store,FAMILYMART @<Br>Damansara Utama,"Uptown Tower 3 No. 16G, Jalan SS 21/39,<Br>Damansara Utama, 47400 Petaling Jaya, Selangor",3.136542,101.621432,<Br>Damansara Utama,"['Mcdonald Uptown', 'Yong Dental Surgery', '饥饿食坊 Hungry People - Fresh Food Mart']"
familymart,convenience_store,FAMILYMART @Usj 1,"Lot G (0), The Summit USJ, 38, Perisaran Kewajipan, Usj 1, 47600 Subang Jaya, Selangor",3.060459,101.593376,Usj 1,"['Vinnie Cafe', 'Penang Favorites', 'Koong Woh Tong 恭和堂']"
familymart,convenience_store,FAMILYMART @Kelana Jaya,"Lot CF-08, Concourse Floor, N0 1, Jalan SS7/26A, Kelana Jaya, 47301 Petaling Jaya, Selangor",3.105541,101.595692,Kelana Jaya,"['H&M', 'GNC', 'Food Arcade']"
familymart,convenience_store,FAMILYMART @Jalan P.Ramlee,"Lot G11, Ground Floor, Menara Hap Seng, Jalan P.Ramlee, 50250 Kuala Lumpur, Kuala Lumpur",3.152199,101.706845,Jalan P.Ramlee,"['The Well Shopping Mall', 'Hap Seng Consolidated Berhad', 'Caffe Pascucci']"
familymart,convenience_store,FAMILYMART @Taman Segar,"Lot No. L1-48-3, Cheras LeisureMall, Jalan Manis 6, Taman Segar, 56100 Kuala Lumpur, Malaysia",3.090955,101.742409,Taman Segar,"['Baskin-Robbins', 'Hush Puppies', 'SHINS']"
familymart,convenience_store,FAMILYMART @47800,"Lot LG 1.11, Lower Ground floor, IPC Shopping Centre, No. 2, Jalan PJU 7/2, Mutiara Damansara, 47800, Petaling Jaya, Selangor",3.155949,101.611455,47800,"['Tudung People Ipc', 'Balloon Buzz Party Centre', 'Health Lane Pharmacy']"
