feature_name,feature_tag,name,Address,Latitude,Longitude,Location,Nearest(poi)
99speedmart,convenience_store,99SpeedMart @Rantau Panjang,"5559 & 5561(G), Jalan Rantau Panjang KU/4, Rantau Panjang, 41200 Klang, Selangor Darul Ehsan.",3.070694,101.412364,Rantau Panjang,"['Klinik Alam Medik', 'Burger King']"
99speedmart,convenience_store,99SpeedMart @Bandar Puteri,"No. 39(G), Lorong Sanggul 1A, Bandar Puteri , 42000 Klang, Selangor Darul Ehsan.",2.988106,101.467792,Bandar Puteri,"['Futurewax Car Wash & Polish', 'Swaadh', 'E-mage']"
99speedmart,convenience_store,99SpeedMart @Pekan Kapar,"86 & 88, Jalan Mokhtar 1, Jalan Kapar, 42200 Klang, Selangor Darul Ehsan.",3.137013,101.372586,Pekan Kapar,"['Bazaar Ramadhan Pekan Kapar', ""Kedai Makan D'Lempeng"", 'Econsave Pekan Kapar']"
99speedmart,convenience_store,99SpeedMart @Subang U5 (1),"15-17(Ground Floor), Jalan Uranus AG U5/AG,  Section U5, 40150 Shah Alam,  Selangor Darul Ehsan.",3.167383,101.533664,Subang U5 (1),"['Cutter Barbershop & Skatestore', 'Boon Thai Motor Enterprise', 'Restoran Malabar Corner']"
99speedmart,convenience_store,99SpeedMart @Sekinchan,"46 & 47 (G), Jalan Mentari Besar 1,  Sekinchan Business Centre,  45400 Sekinchan, Selangor Darul Ehsan.",3.507081,101.102659,Sekinchan,"['Southern Cafe', 'Hong Leong Bank Sekinchan']"
99speedmart,convenience_store,99SpeedMart @Pasir Penambang,"202 & 203, Pekan Pasir Penambang,  45400 Kuala Selangor,  Selangor Darul Ehsan.",3.350335,101.252121,Pasir Penambang,"['Coconut Stall', 'Pasar Malam Pasir Penambang', '强记鸡饭 @Pasir Penambang']"
99speedmart,convenience_store,99SpeedMart @Taman Rasnah,"129 & 131, Jalan Batu Tiga Lama, Berkeley Town Centre , 41300 Klang, Selangor Darul Ehsan.",3.053713,101.467172,Taman Rasnah,"['Har Mee House', 'Restoran Apollo \ue33f', 'Tmn Rashna Prawn Mee']"
99speedmart,convenience_store,99SpeedMart @Bayu Perdana 1,"280-282, Persiaran Pegaga, Taman Bayu Perdana , 41200 Klang, Selangor Darul Ehsan.",3.017184,101.432065,Bayu Perdana 1,"['Klinik Cinta Sayang', 'GreatSound Auto Accessories', 'Siong Seng Auto Accessories Sdn. Bhd.']"
99speedmart,convenience_store,99SpeedMart @Teluk Pulai,"No. 61 & 63 (Grd Floor), Jalan Teluk Pulai, Kaw 7, 41100 Klang, Selangor Darul Ehsan.",3.042212,101.428569,Teluk Pulai,"['KK Supermart', 'Restoran Rezeki Al-Mubarak']"
99speedmart,convenience_store,99SpeedMart @Tanjong Karang,"15 & 17 (GRound Floor), Jalan PB 1/1, Pusat Bandar Tanjong Karang, 45500 Tanjong Karang, Selangor Darul Ehsan.",3.425065,101.176812,Tanjong Karang,"[""John's Hair Salon"", 'Pizza Hut Tanjung Karang']"
99speedmart,convenience_store,99SpeedMart @Bandar Botanik 1,"No.46 & 48 (Ground Floor), Jalan Jasmin 1/KS6, Bandar Botanik, 41200 Klang, Selangor Darul Ehsan.",2.98681,101.443514,Bandar Botanik 1,"['Botanic Corner Restaurant', 'Friends Seafood Restaurant']"
99speedmart,convenience_store,99SpeedMart @Kampung Sungai Udang,"No. 29 & 31 (Ground Floor), Jalan Udan Putih 21 KS 3, Kampung Sg. Udang, 41250 Klang, Selangor Darul Ehsan.",3.039289,101.413480,Kampung Sungai Udang,"['Lizaz Beauty Spa & Gym', 'Nifara Steak Cafe', 'Masjid Sungai Udang']"
99speedmart,convenience_store,99SpeedMart @Pandamaran,"No. 153 & 155 (G), Jalan Chan Ah Choo, Pandamaran, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.010263,101.418375,Pandamaran,"['Poliklinik & Surgeri Damai', '新村海鲜饭店']"
99speedmart,convenience_store,99SpeedMart @Kampung Sungai Lang,"No.40-42(Ground Floor), Jalan Bersatu Dua, Taman Bersatu, Sungai Lang, 42700 Banting, Selangor Darul Ehsan.",2.790454,101.510214,Kampung Sungai Lang,"['Pusat Angkasa Negara', 'newplace']"
99speedmart,convenience_store,99SpeedMart @USJ 10 Taipan,"No.53(G),Jalan USJ 10/1F,47620 Subang Jaya, Selangor Darul Ehsan.",3.047633,101.583213,USJ 10 Taipan,"['Magic Boo Spa Equipment', 'Chase Up Hair Studio', 'Posé Dance Academy']"
99speedmart,convenience_store,99SpeedMart @Taman Medan,"No.11 & 12 (Ground Floor), Jalan Medan 8, Taman Medan, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.075284,101.635453,Taman Medan,"['Saaka Nilai', 'Farmasi Zora', 'Saaka Nilai']"
99speedmart,convenience_store,99SpeedMart @Sasaran,"No: 3 & 4 (Ground Floor), Jalan Muara 2,  Taman Muara Estec, Sungai Buloh,  45800 Jeram, Selangor Darul Ehsan.",3.260963,101.305529,Sasaran,"['Pos Office Sungai Buloh', 'Pasar Sungai Buloh']"
99speedmart,convenience_store,99SpeedMart @Sungai Buloh,"No.41&43(G),Jalan Kati Eu 19/E, Sek. U19 Tmn Medan Mas ,47000 Sungai buloh, Selangor Darul Ehsan.",3.19483,101.56724,Sungai Buloh,"['Poliklinik Famili Dan Medi-Kulit', 'Poslaju Sungai Buloh', '万发海鲜饭店']"
99speedmart,convenience_store,99SpeedMart @Puchong Prima,"E01-09 & E01-10,Jalan Puchong Prima 5/3,Taman Puchong Prima,47100 Puchong,Selangor Darul Ehsan.",3.000063,101.595059,Puchong Prima,"['Hong Leong Bank@Puchong Prima', 'Rio Production']"
99speedmart,convenience_store,99SpeedMart @Shah Alam Sek 23,"No.89 & 91 (Ground Floor), Jalan Pelabur B 23/B, 40300 Shah Alam, Selangor Darul Ehsan.",3.046647,101.526414,Shah Alam Sek 23,"['Klinik Nadi Iman', 'Iron Lab Gym', 'RED RHINO SHAH ALAM SECURITY DOOR']"
99speedmart,convenience_store,99SpeedMart @Jenjarom,"No.23 & 25 & 27 (Ground Floor),Jalan Bacang 17,Sungai Jarom,42600 Jenjarom, Selangor Darul Ehsan.",2.872043,101.494678,Jenjarom,"['Pearlfect Dental Clinic', '新湘子楼酒家', 'MINNIEQ HOUSE']"
99speedmart,convenience_store,99SpeedMart @Bandar Baru Klang,"No. 32A (G), Lorong Tiara 1B , Bandar Baru Klang, 41150 Klang, Selangor Darul Ehsan.",3.063328,101.468909,Bandar Baru Klang,"['Klinik Bandaran', ""V'Arts Beauty House""]"
99speedmart,convenience_store,99SpeedMart @Bukit Jelutong,"No: 15 & 17 (Ground Floor),  Jalan Pelapik B U8/B,  Bukit Jelutong, Seksyen U8,40150 Shah Alam, Selangor Darul Ehsan.",3.114462,101.526779,Bukit Jelutong,"['Burger King', 'Smart Reader']"
99speedmart,convenience_store,99SpeedMart @Subang Jaya SS19,"NO. 55, Jalan SS19/6,  46500 Subang Jaya,  Selangor Darul Ehsan.",3.065781,101.579352,Subang Jaya SS19,"['Twan Auto Service Sdn Bhd', 'Kedai Gunting Rambut Famous', 'Easy By RHB']"
99speedmart,convenience_store,99SpeedMart @Setia Alam 1,"No. 9-1-2 & 7-1-1,  Jalan Setia Prima R U13/R,  Setia Alam, Sek U13,40170 Shah Alam, Selangor Darul Ehsan.",3.10087,101.444787,Setia Alam 1,"['Bank Simpanan Nasional', 'Bank Simpanan Nasional (BSN)', 'Klinik Mediviron Setia Alam']"
